,Date,User,Tweet
6053,2022-09-07 12:06:25+00:00,Sam_Watson7,"Chelsea are an absolute joke of a club. On that basis maybe Liverpool should sack Klopp, Newcastle should sack Eddie Howe... Tuchel had just brought in players he wanted to taylor his team, his way. He got 2 games with them 😬 It takes years to build and win consistently."
6054,2022-09-07 12:06:00+00:00,iamsatyarao,"So..

The owner of #CFC is also the Sporting Director of the Club. So he himself took the decision to Sack #Tuchel.  #Boehly is #American, mans call it soccer ffs, mans dont know ball. 

Tuchel legit won them The #UCL. Personally, i think Chelsea is going down. Not even Top 6. https://t.co/vEj90d1ySs"
6055,2022-09-07 12:05:55+00:00,Legace_,"One good thing about Tuchel's sack is that Pep won't win 6 PLs in a row.

Sweet."
6056,2022-09-07 12:05:49+00:00,afolabitunde,"@EmmaNwachukwu_ Perhaps there have been some back channel communication with the new coach on the choice of players to go for and when it hs done, sack tuchel and get the new coach on board.
This is the only thing that can make sense to me walahi"
6057,2022-09-07 12:05:43+00:00,worldnews_guru,Why did Chelsea sack Thomas Tuchel? https://t.co/UqfSQVG0VZ
6058,2022-09-07 12:05:40+00:00,MilitaryGooner,"So Chelsea sack Tuchel 6 games into the season with a squad of new players that he’s trying to rebuild with, so why if the next manager don’t rate these players? Rebuild again?

As arsenal and neutral fan bad decisions in my view.

#TuchelOut #Tuchel_out #Chelsea #TuchelSacked https://t.co/rhTQKuffBA"
6059,2022-09-07 12:05:40+00:00,bigbossdennis,@jrkay He talk say make them sack Tuchel since Saturday
6060,2022-09-07 12:05:40+00:00,YasvitaO,"@heisvalid @the_smallie I support you bro, tuchel not deserve to be sack at all"
6061,2022-09-07 12:05:39+00:00,Tbill82,"@ChelseaFC OMG WHY???  You just sign his players and you sack him.  Who is Chelsea going to get who is better than Tuchel?  There is NOBODY. The transfer window was a cluster, which caused issues with the team.  Its sad to see. But as a Chelsea supporter - we move on."
6062,2022-09-07 12:05:38+00:00,vile_mennis,Whoa didn’t think Todd would sack Tuchel so quickly. He ain’t messing around.
6063,2022-09-07 12:05:32+00:00,leecarey__,Chelsea sack Thomas Tuchel after UEFA Champions League loss to Dinamo Zagreb / https://t.co/lMVb1hy3In #PremierLeague #FPL #EPL #Pitchfooty #Football #Soccer #News #COYS #LFC #MUFC #CFC #MCFC
6064,2022-09-07 12:05:29+00:00,iamtejaskhokhar,No way Tuchel spent 300M pounds just for Chelsea to sack him 6 days later.
6065,2022-09-07 12:05:28+00:00,sharjah24,"#Chelsea sack #Tuchel after #ChampionsLeague defeat to #Zagreb 
#Sharjah24
https://t.co/IJrcemuOJe"
6066,2022-09-07 12:05:24+00:00,SbhardwajCFC,"What the actual hell. My internet was off for like 3 hours and first thing I see that Tuchel is sacked? Why how, why would you spend 273m pound and sack him. Typical Chelsea shit."
6067,2022-09-07 12:05:18+00:00,Tom___Arnold,So Todd Boehley had a plan in place to sack Tuchel. I think the relationship broke down long time ago and Tuchel couldn't give his best. #Chelsea #Tuchel https://t.co/QFIWsLRHJF
6068,2022-09-07 12:05:13+00:00,SanchUnited,Jokes aside - what an awful decision to sack Thomas Tuchel lol. A brilliant manager who pretty much has a entire new squad - it’s been 6 games!
6069,2022-09-07 12:05:08+00:00,TheOctopusNews1,"Chelsea FC Sack Coach, Thomas Tuchel https://t.co/1bg91VqsWo"
6070,2022-09-07 12:05:02+00:00,mitch2046,Thomas Tuchel: Chelsea sack manager following Champions League defeat - BBC Sport https://t.co/tqLVsKx575
6071,2022-09-07 12:04:59+00:00,redpanther61,"@ChelseaFC Wtf, Chelsea sack Tuchel!"
6072,2022-09-07 12:04:56+00:00,_Lekandairo,Why this tuchel sack wan come dey rattle me now😑
6073,2022-09-07 12:04:43+00:00,AbdulmalikOrem,Chelsea sack manager Tuchel after poor start https://t.co/LVMSftTDRS let zidaine replace tuchel
6074,2022-09-07 12:04:31+00:00,leclercs_gf,Ain’t no way people are using out of context statistics to prove that the decision to sack Thomas Tuchel is justified. Please be serious. this is the guy that brought ur club a trophy I dream of everyday.
6075,2022-09-07 12:04:17+00:00,VdykCFC,"That unbelievable transfer window that Boehly got us means nothing now

Why would you let Tuchel get all of his players and then sack him? Makes no sense

This really doesn’t sit right with me man, it really doesn’t"
